Час t,Вразливі,Заражені,Одужали
0.0,499.0,1.0,0.0
1.0101010101010102,488.1637395587272,11.616708291473431,0.21955214979945553
2.0202020202020203,388.27346286783376,109.21757517603703,2.5089619561292547
3.0303030303030303,115.0566421039975,370.27154268352945,14.671815212472982
4.040404040404041,13.376305061222288,450.4324828124379,36.19121212633995
5.050505050505051,1.3978991832638525,439.82574514256515,58.77635567417121
6.0606060606060606,0.15956077458694734,419.36107436302933,80.47936486238399
7.070707070707071,0.020218057128751795,398.8419279358403,101.13785400703121
8.080808080808081,0.002835415535823067,379.21543070929255,120.78173387517191
9.090909090909092,0.00043802024225086765,360.5410596848583,139.45850229489986
10.101010101010102,7.418502215628975e-05,342.784449916747,157.21547589823115
11.111111111111112,1.3713293835373995e-05,325.90207503054256,174.0979112561639
12.121212121212121,2.7537302698953587e-06,309.851123901603,190.14887334466712
13.131313131313131,5.991847257066651e-07,294.59068759262607,205.4093118081895
14.141414141414142,1.4091260069362055e-07,280.0818400635551,219.91815979553255
15.151515151515152,3.5351797387411915e-08,266.2875679176593,233.71243204698916
16.161616161616163,8.694762658848962e-09,253.17267184613593,246.8273281451696
17.171717171717173,5.354458081035205e-09,240.7036946947864,259.2963052998594
18.181818181818183,1.7719064122792838e-09,228.84882725899396,271.15117273923437
19.191919191919194,1.5698295620985992e-09,217.57782199555353,282.42217800287693
20.202020202020204,1.0390338403985731e-08,206.86192456278866,293.13807542682133
21.212121212121215,5.209027381902153e-09,196.6737950196851,303.3262049751062
22.222222222222225,-1.0668276355877483e-08,186.98743904848328,313.01256096218526
23.232323232323235,7.616449473731215e-10,177.77814448607145,322.22185551316727
24.242424242424242,1.912173510418391e-08,169.02241554096923,330.97758443990944
25.252525252525253,1.2986594212461308e-08,160.6979142411574,339.3020857458564
26.262626262626263,6.2089807032955265e-09,152.7834016062165,347.21659838757495
27.272727272727273,3.243298715790429e-09,145.25868560850049,354.7413143882567
28.282828282828284,1.4890086418825735e-09,138.10456841033186,361.8954315881796
29.292929292929294,7.85213903642505e-10,131.3027977150871,368.69720228412814
30.303030303030305,4.1541728911546534e-10,124.83602016905809,375.163979830527
31.313131313131315,2.5994085967923925e-10,118.6877360835486,381.31226391619197
32.323232323232325,-6.409583742445942e-12,112.84226151430002,387.15773848570694
33.333333333333336,-3.034583007637141e-10,107.28468298774939,392.71531701255464
34.343434343434346,-4.5958864217221486e-10,102.00081902723417,397.999180973226
35.35353535353536,-3.1861450536704796e-10,96.97718973857587,403.02281026174325
36.36363636363637,-1.7883144568947207e-10,92.20097858678865,407.7990214133907
37.37373737373738,-1.7754854922447643e-10,87.66000005359562,412.33999994658245
38.38383838383839,-2.0467777558380756e-10,83.34266865057776,416.65733134962744
39.3939393939394,-7.059697450724082e-11,79.23796975019557,420.7620302498756
40.40404040404041,1.7433748327966616e-10,75.33543143819072,424.6645685616355
41.41414141414142,3.466484083232338e-10,71.6250955675449,428.374904432109
42.42424242424243,3.965450708771697e-10,68.0974960724332,431.9025039271708
43.43434343434344,4.724932690476199e-11,64.74363473399075,435.2563652659626
44.44444444444445,-3.979712878122868e-10,61.554954597994026,438.4450454024045
45.45454545454546,-2.256089744086173e-10,58.52331924548281,441.47668075474337
46.46464646464647,1.2690634519208399e-10,55.64099447462976,444.35900552524396
47.47474747474748,1.4307412777739526e-10,52.90062694554343,447.0993730543141
48.484848484848484,-7.018934254654241e-11,50.29522490145398,449.70477509861684
49.494949494949495,-3.189503631427853e-10,47.818141147656185,452.18185885266337
50.505050505050505,-1.0785596154136915e-10,45.463055931154145,454.5369440689543
51.515151515151516,1.9971548907770755e-10,43.22396070565036,456.7760392941505
52.525252525252526,7.40053391900277e-11,41.095142895192524,458.90485710473405
53.535353535353536,-9.348934359864918e-11,39.07117122023035,460.9288287798637
54.54545454545455,-1.229267595633778e-10,37.14688190686154,462.85311809326197
55.55555555555556,5.252129597735486e-12,35.31736551376998,464.68263448622537
56.56565656565657,2.966664470163444e-10,33.577954310381294,466.42204568932266
57.57575757575758,3.4599432234759707e-10,31.92421068268405,468.07578931697054
58.58585858585859,1.1701835948834103e-10,30.35191537213879,469.6480846277448
59.5959595959596,-1.236475679605359e-10,28.857056963088546,471.1429430370357
60.60606060606061,-1.816021273977778e-10,27.43582168370707,472.56417831647514
61.61616161616162,-1.3751951660565305e-10,26.084583422625514,473.9154165775126
62.62626262626263,-5.7623176610679014e-11,24.799894892226085,475.2001051078321
63.63636363636364,3.97932657397357e-11,23.57847834582269,476.4215216541381
64.64646464646465,5.330202334748503e-11,22.417217662701386,477.5827823372459
65.65656565656566,-3.7492453720944054e-11,21.31315007882307,478.68684992121496
66.66666666666667,-1.2224548603817305e-10,20.263458771229356,479.73654122889343
67.67676767676768,-8.860428788223421e-11,19.26546571542098,480.73453428466814
68.68686868686869,-1.388432805778607e-11,18.31662464624711,481.6833753537673
69.6969696969697,6.044794309763834e-12,17.41451487456072,482.58548512543376
70.70707070707071,-4.891974968706058e-12,16.55683476497032,483.4431652350351
71.71717171717172,-1.8405428188849917e-11,15.741396169875049,484.2586038301439
72.72727272727273,-2.6235502860672347e-11,14.966118648131697,485.0338813518951
73.73737373737374,-2.791109590418948e-11,14.229024209518393,485.7709757905101
74.74747474747475,-2.1392552825670914e-11,13.528232356598743,486.4717676434232
75.75757575757576,-1.1979089343476105e-11,12.8619551606506,487.13804483936195
76.76767676767678,-9.391834963857453e-12,12.228492685560651,487.77150731444925
77.77777777777779,-3.214617847735529e-11,11.626228763359597,488.37377123667306
78.7878787878788,-8.053916430560747e-11,11.053626888458103,488.94637311162296
79.7979797979798,-8.567265921374342e-11,10.509226119783639,489.4907738803025
80.80808080808082,-7.323473547503048e-11,9.991637565435088,490.0083624346386
81.81818181818183,-6.09109850852268e-11,9.499540702347431,490.500459297714
82.82828282828284,-5.6954313249348325e-11,9.031680027758682,490.9683199722988
83.83838383838385,-5.820844924454372e-11,8.586861906327833,491.4131380937309
84.84848484848486,-5.782658975284672e-11,8.16395146171218,491.8360485383462
85.85858585858587,-5.58576598018827e-11,7.761869724861269,492.2381302751951
86.86868686868688,-5.34987757629951e-11,7.379590866209572,492.6204091338444
87.87878787878789,-5.0827876116630284e-11,7.016139573690124,492.9838604263613
88.8888888888889,-4.7111191900922745e-11,6.670588578733738,493.3294114213139
89.89898989898991,-4.463558952842197e-11,6.342056270058803,493.65794372998636
90.90909090909092,-4.438339283778211e-11,6.029704463252739,493.97029553679215
91.91919191919193,-4.499285077248513e-11,5.732736257715981,494.26726374232953
92.92929292929294,-4.4071419674645064e-11,5.450393993168808,494.5496060068758
93.93939393939395,-4.314056844068455e-11,5.181957337689056,494.8180426623546
94.94949494949496,-4.225553777162338e-11,4.926741424332379,495.0732585757104
95.95959595959597,-4.1116628698112644e-11,4.68409510864846,495.3159048913932
96.96969696969697,-3.97352495089257e-11,4.453399339053765,495.54660066098654
97.97979797979798,-3.842998404071181e-11,4.234065538434075,495.7659344616049
98.98989898989899,-3.769068986107923e-11,4.025534114246368,495.97446588579186
100.0,-3.72075186160881e-11,3.8272730492077542,496.17272695083
